Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,40.250000,40.410000,38.700001,39.070000,36.103127,13229600
2020-04-21,38.000000,38.820000,37.500000,37.759998,34.892601,15089300
2020-04-22,38.439999,38.480000,37.450001,37.810001,34.938812,11190800
2020-04-23,38.009998,38.840000,37.919998,38.450001,35.530209,7182400
2020-04-24,38.759998,39.570000,38.689999,39.419998,36.426548,8785500
2020-04-27,39.619999,40.209999,39.240002,39.750000,36.731491,6066300
2020-04-28,40.709999,41.459999,40.570000,40.709999,37.618591,7098500
2020-04-29,41.000000,41.270000,40.470001,40.470001,37.396816,7350400
2020-04-30,42.349998,42.360001,39.040001,39.250000,36.269459,13830900
2020-05-01,39.029999,40.360001,37.669998,37.910000,35.031216,11765500
2020-05-04,38.000000,38.270000,37.570000,38.009998,35.123619,9177300
2020-05-05,38.279999,38.400002,36.720001,36.799999,34.005508,9590200
2020-05-06,37.090000,37.139999,35.139999,35.730000,33.016762,15203600
2020-05-07,36.220001,36.250000,35.020000,35.099998,32.434597,17855900
2020-05-08,35.630001,36.900002,35.439999,36.740002,33.950066,8454200
2020-05-11,36.029999,36.700001,35.869999,36.419998,33.654358,8254900
2020-05-12,36.700001,37.150002,36.070000,36.080002,33.340187,12086400
2020-05-13,36.020000,36.770000,35.610001,36.349998,33.589672,13141400
2020-05-14,35.849998,36.380001,35.560001,36.250000,33.497272,9128800
2020-05-15,36.419998,36.750000,35.980000,36.590000,33.811451,12566000
2020-05-18,37.669998,37.880001,37.330002,37.599998,34.744759,9830600
2020-05-19,37.520000,37.689999,37.099998,37.119999,34.301208,10010800
2020-05-20,37.340000,37.799999,37.090000,37.770000,34.901848,10310900
2020-05-21,37.700001,38.099998,37.220001,37.540001,34.689312,10212100
2020-05-22,37.500000,37.759998,37.230000,37.730000,34.864887,6943400
2020-05-26,38.439999,38.820000,38.130001,38.279999,35.373116,9596000
2020-05-27,39.060001,39.500000,38.919998,39.049999,36.084648,9502000
2020-05-28,39.740002,39.740002,38.790001,38.810001,35.862877,12056800
2020-05-29,38.590000,39.230000,38.200001,39.049999,36.084648,18946500
2020-06-01,39.099998,39.759998,39.080002,39.180000,36.204773,6573400
2020-06-02,39.389999,39.709999,39.250000,39.660000,36.648327,8952600
2020-06-03,40.000000,40.439999,39.759998,40.209999,37.156559,8422500
2020-06-04,40.000000,40.740002,39.650002,40.730000,37.637070,7842200
2020-06-05,41.509998,42.470001,41.270000,41.910000,38.727470,10776200
2020-06-08,42.230000,43.150002,41.939999,42.830002,39.577602,10509300
2020-06-09,42.450001,42.689999,41.959999,42.180000,38.976963,11903200
2020-06-10,42.299999,42.400002,41.799999,41.820000,38.644299,9795600
2020-06-11,40.849998,41.040001,39.270000,39.290001,36.306419,13488100
2020-06-12,39.410000,39.430000,38.220001,39.130001,36.948509,12543100
2020-06-15,38.480000,40.330002,38.340000,40.310001,38.062729,11940200
2020-06-16,41.209999,41.610001,40.560001,41.090000,38.799240,9531900
2020-06-17,41.180000,41.439999,40.759998,40.860001,38.582066,7960400
2020-06-18,40.490002,41.520000,40.470001,41.470001,39.158058,7192800
2020-06-19,41.980000,41.980000,40.560001,40.689999,38.421543,20025400
2020-06-22,40.599998,40.680000,39.900002,40.049999,37.817219,6756100
2020-06-23,40.360001,40.840000,40.230000,40.340000,38.091057,6061900
2020-06-24,39.950001,40.000000,39.240002,39.430000,37.231785,7186600
2020-06-25,39.410000,39.740002,38.970001,39.660000,37.448967,5981200
2020-06-26,39.630001,39.680000,38.090000,38.189999,36.060913,9693100
2020-06-29,38.560001,39.320000,38.450001,39.230000,37.042934,5919700
2020-06-30,39.080002,39.439999,38.860001,39.250000,37.061821,6825000
2020-07-01,39.430000,40.180000,39.220001,39.240002,37.052380,6326100
2020-07-02,39.630001,40.020000,39.299999,39.400002,37.203461,4389500
2020-07-06,39.750000,40.009998,39.080002,39.599998,37.392311,4883100
2020-07-07,39.189999,40.240002,39.119999,39.939999,37.713356,8659900
2020-07-08,39.820000,40.439999,39.610001,39.869999,37.647251,7530500
2020-07-09,39.730000,39.730000,38.529999,38.599998,36.448059,6257000
2020-07-10,38.950001,40.320000,38.900002,40.270000,38.024960,8406400
2020-07-13,40.130001,40.720001,39.740002,40.209999,37.968304,6931300
2020-07-14,40.209999,41.099998,39.880001,41.060001,38.770916,7783300
2020-07-15,41.340000,41.750000,40.959999,41.000000,38.714260,6499600
2020-07-16,40.939999,41.680000,40.869999,41.480000,39.167500,5670900
2020-07-17,41.840000,41.849998,41.389999,41.540001,39.224155,6242700
2020-07-20,41.500000,41.500000,40.480000,40.869999,38.591507,5915800
2020-07-21,41.040001,42.139999,41.040001,41.220001,38.921997,6212400
2020-07-22,41.099998,41.400002,40.509998,41.340000,39.035305,5437900
2020-07-23,41.480000,41.740002,41.259998,41.580002,39.261925,4803000
2020-07-24,41.799999,42.590000,41.590000,41.849998,39.516869,6186800
2020-07-27,42.000000,42.270000,41.759998,42.130001,39.781261,6052100
2020-07-28,42.980000,43.200001,42.209999,42.520000,40.149521,10794200
2020-07-29,42.869999,42.869999,41.419998,41.630001,39.309139,7890100
2020-07-30,41.279999,41.889999,41.180000,41.580002,39.261925,6256700
2020-07-31,41.310001,41.560001,40.669998,41.150002,38.855896,7572500
2020-08-03,41.110001,41.320000,40.669998,41.009998,38.723701,6063800
2020-08-04,41.200001,41.610001,40.930000,41.599998,39.280807,8747300
2020-08-05,41.689999,42.040001,41.480000,41.660000,39.337463,6441500
2020-08-06,41.580002,41.889999,41.320000,41.549999,39.233593,4085500
2020-08-07,41.299999,42.230000,41.070000,42.169998,39.819031,5620600
2020-08-10,42.259998,43.250000,42.259998,43.220001,40.810493,6734900
2020-08-11,43.860001,44.150002,43.470001,43.599998,41.169312,8538700
2020-08-12,43.709999,43.990002,42.900002,42.959999,40.564991,7866800
2020-08-13,42.750000,43.070000,42.480000,42.570000,40.196732,5347100
2020-08-14,42.360001,42.720001,42.080002,42.540001,40.168404,4881300
2020-08-17,42.680000,43.340000,42.570000,43.029999,40.631084,6948700
2020-08-18,43.360001,43.599998,43.029999,43.220001,40.810493,5865100
2020-08-19,43.369999,44.150002,43.169998,43.650002,41.216522,6439400
2020-08-20,43.380001,43.810001,43.160000,43.500000,41.074886,6160500
2020-08-21,43.590000,43.650002,43.139999,43.459999,41.037113,4334400
2020-08-24,43.580002,44.459999,43.450001,44.040001,41.584782,7911300
2020-08-25,44.299999,44.299999,43.500000,43.520000,41.093769,6117900
2020-08-26,43.220001,43.650002,42.930000,43.200001,40.791611,11083300
2020-08-27,43.430000,44.369999,43.360001,43.750000,41.310947,6558300
2020-08-28,43.840000,43.950001,43.459999,43.930000,41.480911,5476500
2020-08-31,43.880001,43.990002,43.590000,43.740002,41.301506,7826300
2020-09-01,43.650002,43.689999,43.040001,43.119999,40.716072,7109100
2020-09-02,43.070000,43.900002,42.900002,43.759998,41.320389,8021200
2020-09-03,43.950001,44.779999,43.009998,43.290001,40.876595,10906100
2020-09-04,43.509998,43.939999,42.779999,43.490002,41.065445,9461000
